id,name,town,region,country,marketSegment,tripadvisorRank,latitude,longitude,officialWebsite,policyPage,bookingCom,dataSource,taxCount,feeCount,resortFee,parkingFee,childrenFreeAge,adultCharge,damageDeposit,scrapedAt,scrapingNotes
australia-falls-creek-astra-falls-creek,Astra Falls Creek,Falls Creek,Victoria,Australia,Upscale,3,-36.8623,147.2745,https://www.astrafallscreek.com.au/,https://astrafallscreek.com.au/terms-conditions/,,official,0,0,,,,,,2025-12-20T09:48:49Z,No taxes or fees found on policy page
australia-falls-creek-attunga-alpine-lodge,Attunga Alpine Lodge,Falls Creek,Victoria,Australia,Upper-Midscale,6,-36.8667,147.2789,https://www.attungalodge.com.au/,https://www.attungalodge.com.au/about.html,,official,0,0,,,,,,2025-12-20T09:50:41Z,No taxes or fees found on policy page
australia-falls-creek-cedarwood-apartments,Cedarwood Apartments,Falls Creek,Victoria,Australia,Upper-Midscale,9,-36.859,147.2712,https://www.cedarwood.com.au/,https://www.cedarwood.com.au/policies,,official,0,0,,,,,,2025-12-20T09:52:02Z,No taxes or fees found on policy page
australia-falls-creek-the-stables,The Stables,Falls Creek,Victoria,Australia,Upper-Midscale,11,-36.8579,147.2701,https://www.thestables.com.au/,https://www.thestables.com.au/privacy-policy,,official,0,0,,,,,,2025-12-20T09:53:16Z,No taxes or fees found on policy page
australia-falls-creek-silverski-boutique-hotel,Silverski Boutique Hotel,Falls Creek,Victoria,Australia,Upscale,14,-36.8712,147.2834,https://www.silverski.com.au/,https://www.silverski.com.au/faq/,,official,0,0,,,,,,2025-12-20T09:54:57Z,No taxes or fees found on policy page
australia-falls-creek-peppers-rundells-alpine-lodge,Peppers Rundells Alpine Lodge,Falls Creek,Victoria,Australia,Upscale,26,-36.8778,147.2901,https://www.peppers.com.au/rundells/,https://www.peppers.com.au/terms/,,official,0,0,,,,,,2025-12-20T10:01:57Z,No taxes or fees found on policy page
australia-falls-creek-falls-creek-country-club,Falls Creek Country Club,Falls Creek,Victoria,Australia,Upper-Midscale,28,-36.8789,147.2912,https://www.fallscreekcountryclub.com.au/,https://fallscreekcountryclub.com.au/about/terms-and-conditions/,,official,0,0,,,,,,2025-12-20T10:02:38Z,No taxes or fees found on policy page
australia-mount-buller-arlberg-hotel-mt-buller,Arlberg Hotel Mt Buller,Mount Buller,Victoria,Australia,Upper-Midscale,3,-37.1445,146.4378,https://www.arlberg.com.au/,http://arlberg.com.au/faq/,,official,0,0,,,,,,2025-12-20T10:27:32Z,No taxes or fees found on policy page
australia-mount-buller-alzburg-resort,Alzburg Resort,Mount Buller,Victoria,Australia,Upper-Midscale,9,-37.1501,146.4434,https://www.alzburg.com.au/,https://alzburg.com.au/wp-content/uploads/2023/01/INFO.pdf,,official,0,0,,,,,,2025-12-20T10:31:03Z,No taxes or fees found on policy page
australia-mount-buller-hotel-pension-grimus,Hotel & Pension Grimus,Mount Buller,Victoria,Australia,Upper-Midscale,11,-37.1512,146.4445,https://www.grimus.com.au/,https://www.grimus.com.au/policies,,official,0,0,,,,,,2025-12-20T10:31:44Z,No taxes or fees found on policy page
australia-mount-buller-ski-club-of-victoria,Ski Club of Victoria,Mount Buller,Victoria,Australia,Midscale,24,-37.1346,146.4279,https://www.scv.com.au/,https://www.scv.com.au/policies,,official,0,0,,,,,,2025-12-20T10:39:04Z,No taxes or fees found on policy page
australia-mount-buller-mansfield-ski-lodge,Mansfield Ski Lodge,Mount Buller,Victoria,Australia,Midscale,27,-37.1335,146.4268,https://www.mansfieldskilodge.com.au/,https://www.mansfieldskilodge.com.au/terms-and-conditions/,,official,0,0,,,,,,2025-12-20T10:40:24Z,No taxes or fees found on policy page
australia-mount-buller-high-country-motor-inn,High Country Motor Inn,Mount Buller,Victoria,Australia,Midscale,29,-37.0589,146.0934,https://www.highcountrymotorinn.com.au/,https://highcountrymotorinn.com.au/terms-of-use/,,official,0,0,,,,,,2025-12-20T10:41:10Z,No taxes or fees found on policy page
australia-perisher-marritz-hotel,Marritz Hotel,Perisher,New South Wales,Australia,Upscale,1,-36.3712,148.4156,https://www.marritz.com.au/,https://www.marritz.com.au/faq/,,official,0,0,,,,,,2025-12-20T10:04:18Z,No taxes or fees found on policy page
australia-perisher-banjo-paterson-inn,Banjo Paterson Inn,Perisher,New South Wales,Australia,Midscale,17,-36.4189,148.6245,https://www.banjopatersoninn.com.au/,https://www.banjopatersoninn.com.au/terms-conditions,,official,0,0,,,,,,2025-12-20T10:19:56Z,No taxes or fees found on policy page
australia-perisher-discovery-parks-jindabyne,Discovery Parks Jindabyne,Perisher,New South Wales,Australia,Midscale,20,-36.4212,148.6267,https://www.discoveryholidayparks.com.au/jindabyne/,https://www.discoveryholidayparks.com.au/terms-and-conditions,,official,0,0,,,,,,2025-12-20T10:21:22Z,No taxes or fees found on policy page
australia-perisher-jindy-inn,Jindy Inn,Perisher,New South Wales,Australia,Midscale,22,-36.4223,148.6278,https://www.jindyinn.com.au/,https://www.jindyinn.com.au/about-2/faq,,official,0,0,,,,,,2025-12-20T10:22:24Z,No taxes or fees found on policy page
australia-perisher-snowgum-motel-jindabyne,Snowgum Motel Jindabyne,Perisher,New South Wales,Australia,Midscale,23,-36.3823,148.4267,https://www.snowgummotel.com.au/,https://snowgummotel.com.au/conditions,,official,0,0,,,,,,2025-12-20T10:22:33Z,No taxes or fees found on policy page
